fixture_id,team,stat_type,value
1035059,Brentford,Goalkeeper Saves,4
1035059,Brentford,Total passes,518
1035059,Brentford,Passes accurate,439
1035059,Brentford,Passes %,85%
1035059,Brentford,expected_goals,0.97
1035059,Crystal Palace,Shots on Goal,5
1035059,Crystal Palace,Shots off Goal,4
1035059,Crystal Palace,Total Shots,15
1035059,Crystal Palace,Blocked Shots,6
1035059,Crystal Palace,Shots insidebox,10
1035059,Crystal Palace,Shots outsidebox,5
1035059,Crystal Palace,Fouls,15
1035059,Crystal Palace,Corner Kicks,6
1035059,Crystal Palace,Offsides,2
1035059,Crystal Palace,Ball Possession,40%
1035059,Crystal Palace,Yellow Cards,
1035059,Crystal Palace,Red Cards,
1035059,Crystal Palace,Goalkeeper Saves,0
1035059,Crystal Palace,Total passes,348
1035059,Crystal Palace,Passes accurate,283
1035059,Crystal Palace,Passes %,81%
1035059,Crystal Palace,expected_goals,0.80
1035102,Newcastle,Shots on Goal,8
1035102,Newcastle,Shots off Goal,6
1035102,Newcastle,Total Shots,20
1035102,Newcastle,Blocked Shots,6
1035102,Newcastle,Shots insidebox,14
1035102,Newcastle,Shots outsidebox,6
1035102,Newcastle,Fouls,7
1035102,Newcastle,Corner Kicks,5
1035102,Newcastle,Offsides,1
1035102,Newcastle,Ball Possession,53%
1035102,Newcastle,Yellow Cards,1
1035102,Newcastle,Red Cards,
1035102,Newcastle,Goalkeeper Saves,2
1035102,Newcastle,Total passes,510
1035102,Newcastle,Passes accurate,414
1035102,Newcastle,Passes %,81%
1035102,Newcastle,expected_goals,3.19
1035102,Burnley,Shots on Goal,2
1035102,Burnley,Shots off Goal,1
1035102,Burnley,Total Shots,8
1035102,Burnley,Blocked Shots,5
1035102,Burnley,Shots insidebox,6
1035102,Burnley,Shots outsidebox,2
1035102,Burnley,Fouls,15
1035102,Burnley,Corner Kicks,3
1035102,Burnley,Offsides,3
1035102,Burnley,Ball Possession,47%
1035102,Burnley,Yellow Cards,3
1035102,Burnley,Red Cards,
1035102,Burnley,Goalkeeper Saves,6
1035102,Burnley,Total passes,463
1035102,Burnley,Passes accurate,364
1035102,Burnley,Passes %,79%
